Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,TickerYahoo
ALUP4,9.43,8.25,1.09,2.205,"2,96%",0.299,2.72,3.3,-0.74,6.47,6.08,"66,83%","45,93%",2.15,"10,36%","13,26%",105334.0,8518980000.0,1.48,"-11,87%",ALUP4.SA
VALE3,57.5,8.29,1.29,1.234,"8,27%",0.545,31.27,3.65,-1.4,4.63,3.74,"33,78%","14,31%",1.11,"16,58%","15,57%",1209840000.0,202082000000.0,0.46,"-5,98%",VALE3.SA
POMO4,8.29,8.32,2.38,1.093,"6,94%",1.049,4.36,6.98,34.51,7.97,7.1,"15,67%","13,33%",1.7,"20,54%","28,59%",67708700.0,3960140000.0,0.78,"27,27%",POMO4.SA
CEBR6,20.85,8.33,1.35,3.847,"10,41%",0.982,1.92,11.43,2.08,6.24,5.87,"33,67%","60,24%",9.39,"15,87%","16,18%",119909.0,1115020000.0,0.0,"3,66%",CEBR6.SA
GOAU4,9.4,8.36,0.48,0.137,"3,72%",0.109,0.47,1.44,3.23,2.61,1.73,"9,54%","4,86%",2.64,"9,00%","5,74%",67527800.0,19459900000.0,0.75,"3,73%",GOAU4.SA
CAML3,4.89,8.37,0.49,0.142,"6,00%",0.141,0.81,3.04,-1.17,9.93,6.73,"4,68%","1,70%",1.42,"6,85%","5,86%",6522220.0,3488880000.0,1.58,"11,05%",CAML3.SA
PETR4,31.35,8.4,1.02,0.814,"17,86%",0.352,-8.25,1.92,-0.65,3.47,2.61,"42,37%","9,78%",0.72,"19,61%","12,16%",1078980000.0,395841000000.0,0.94,"11,51%",PETR4.SA
GOAU3,9.45,8.41,0.48,0.138,"3,70%",0.11,0.47,1.44,3.25,2.61,1.74,"9,54%","4,86%",2.64,"9,00%","5,74%",276877.0,19459900000.0,0.75,"3,73%",GOAU3.SA
VULC4,18.0,8.45,2.25,1.573,"0,00%",1.691,3.3,8.86,3.74,8.89,7.41,"17,75%","18,63%",3.74,"22,00%","26,62%",0.0,2205960000.0,0.12,"24,38%",VULC4.SA
AGIN3,5.29,8.46,1.23,1.816,"0,00%",0.565,1.29,10.92,3.55,14.68,14.68,"16,63%","21,83%",2.72,"5,59%","14,56%",0.0,1028210000.0,0.55,"44,17%",AGIN3.SA
AELP3,1.93,8.49,-200.57,-0.062,"0,00%",5.216,0.0,-12.58,0.0,-11.94,-11.98,"0,49%","-0,73%",0.0,"0,00%","-2.363,83%",0.0,-904000.0,0.0,"1,18%",AELP3.SA
TTEN3,13.5,8.5,1.62,0.494,"1,41%",0.686,3.4,5.63,8.91,6.09,5.62,"8,78%","5,81%",1.45,"23,60%","19,11%",24973000.0,4153040000.0,0.53,"32,72%",TTEN3.SA
VULC3,18.2,8.54,2.27,1.591,"8,91%",1.71,3.34,8.96,3.79,8.98,7.49,"17,75%","18,63%",3.74,"22,00%","26,62%",11887900.0,2205960000.0,0.12,"24,38%",VULC3.SA
EPAR4,3.3,8.55,0.9,6.954,"0,00%",0.71,3.06,-7.61,16.85,-5.38,-6.82,"-91,39%","81,38%",13.71,"-11,84%","10,50%",0.0,54645000.0,0.0,"-63,08%",EPAR4.SA
ALUP11,29.3,8.55,1.13,2.284,"2,86%",0.31,2.82,3.42,-0.77,6.58,6.19,"66,83%","45,93%",2.15,"10,36%","13,26%",32411600.0,8518980000.0,1.48,"-11,87%",ALUP11.SA
HBRE3,2.94,8.55,0.15,1.775,"0,00%",0.059,1.66,1.07,-0.18,6.05,5.94,"166,67%","70,95%",1.57,"5,74%","1,74%",1219220.0,2040590000.0,0.77,"22,13%",HBRE3.SA
CPSL3,38.02,8.56,3.49,0.787,"0,00%",2.043,7.39,5.79,11.84,5.48,5.48,"13,59%","9,20%",1.89,"57,15%","40,82%",0.0,1634730000.0,0.17,"16,21%",CPSL3.SA
ITUB3,31.26,8.56,1.74,0.0,"8,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","20,33%",16550000.0,193682000000.0,0.0,"79,80%",ITUB3.SA
UNIP3,49.49,8.6,2.11,0.994,"9,30%",0.769,3.54,7.3,-3.21,8.57,5.98,"13,61%","11,56%",2.24,"14,27%","24,57%",198725.0,2649660000.0,0.93,"0,80%",UNIP3.SA
PATI4,31.51,8.68,0.96,0.346,"26,24%",0.468,1.16,6.16,2.08,6.55,5.82,"5,62%","3,99%",2.2,"13,75%","11,05%",3001.24,786260000.0,0.59,"0,46%",PATI4.SA
TMGC12,550.0,8.71,1.12,0.8,"0,00%",0.77,4.66,12.27,8.22,10.94,10.94,"6,52%","9,18%",1.69,"8,73%","12,83%",0.0,1167010000.0,0.05,"10,49%",TMGC12.SA
ROMI3,8.55,8.72,0.65,0.61,"9,59%",0.317,0.98,10.87,3.75,18.08,9.57,"5,61%","7,08%",2.17,"3,39%","7,48%",984611.0,1221270000.0,0.63,"-0,39%",ROMI3.SA
TPIS3,4.0,8.72,0.19,0.136,"5,76%",0.065,-0.15,0.73,-0.11,6.24,3.8,"18,50%","0,03%",0.13,"9,31%","2,21%",40485.5,912716000.0,1.5,"7,61%",TPIS3.SA
ACES4,94.73,8.74,2.27,1.683,"0,00%",1.43,6.37,7.16,20.65,6.5,6.5,"23,52%","19,27%",2.05,"26,90%","25,95%",0.0,3105800000.0,0.09,"13,34%",ACES4.SA
ACES3,95.27,8.79,2.28,1.693,"0,00%",1.438,6.4,7.2,20.77,6.54,6.54,"23,52%","19,27%",2.05,"26,90%","25,95%",0.0,3105800000.0,0.09,"13,34%",ACES3.SA
CZRS4,2.49,8.89,0.3,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","3,34%",0.0,1145670000.0,0.0,"14,44%",CZRS4.SA
BRBI11,15.93,8.93,2.1,4.558,"12,62%",0.108,2.64,78.66,2.64,25.2,17.55,"5,80%","51,05%",1.04,"12,41%","23,53%",3501320.0,796079000.0,17.75,"-20,29%",BRBI11.SA
AFLU5,5.03,8.93,2.14,2.911,"0,00%",1.875,9.63,8.32,11.92,7.38,7.05,"34,98%","32,59%",3.27,"31,18%","23,93%",0.0,44270000.0,0.0,"8,61%",AFLU5.SA
VIVO3,65.79,8.99,2.69,1.366,"0,00%",1.175,-29.21,6.21,-4.74,6.65,6.65,"22,01%","15,20%",0.89,"23,92%","29,88%",0.0,9816290000.0,0.35,"13,06%",VIVO3.SA
CNFB4,5.99,9.01,1.57,1.511,"0,00%",0.872,3.47,8.27,53.95,10.05,7.85,"18,27%","16,77%",2.2,"12,01%","17,39%",0.0,1552470000.0,0.47,"-10,61%",CNFB4.SA
MILS3,10.99,9.03,1.73,1.574,"4,70%",0.661,3.44,4.61,-2.53,6.73,4.71,"34,15%","17,46%",2.17,"18,53%","19,17%",7841300.0,1487240000.0,1.28,"32,00%",MILS3.SA
EKTR3,44.99,9.04,3.74,0.911,"9,93%",0.709,14.06,3.8,-1.29,6.77,5.73,"24,00%","10,08%",1.24,"20,97%","41,32%",1381.93,2333000000.0,3.18,"4,88%",EKTR3.SA
ALUP3,10.39,9.09,1.21,2.429,"2,68%",0.33,3.0,3.64,-0.82,6.8,6.4,"66,83%","45,93%",2.15,"10,36%","13,26%",64104.3,8518980000.0,1.48,"-11,87%",ALUP3.SA
PETR3,34.08,9.13,1.11,0.885,"16,43%",0.383,-8.97,2.09,-0.7,3.64,2.74,"42,37%","9,78%",0.72,"19,61%","12,16%",351966000.0,395841000000.0,0.94,"11,51%",PETR3.SA
CSED3,4.82,9.15,1.13,0.668,"7,80%",0.366,6.21,3.54,-0.82,4.57,3.01,"18,86%","7,30%",1.35,"12,79%","12,34%",2034560.0,1557200000.0,0.85,"10,42%",CSED3.SA
AFLU3,5.15,9.15,2.19,2.981,"0,00%",1.919,9.86,8.52,12.21,7.57,7.24,"34,98%","32,59%",3.27,"31,18%","23,93%",0.0,44270000.0,0.0,"8,61%",AFLU3.SA
EQPA7,8.05,9.17,3.3,1.593,"8,18%",1.028,12.04,6.03,-2.86,7.49,6.55,"26,43%","17,37%",1.35,"21,61%","36,01%",95.83,5385610000.0,1.27,"15,15%",EQPA7.SA
ELET3,38.64,9.2,0.73,2.13,"4,55%",0.316,2.76,6.33,-0.87,9.18,7.11,"33,65%","23,15%",2.29,"5,66%","7,98%",246653000.0,121494000000.0,0.58,"6,12%",ELET3.SA
MYPK3,13.51,9.22,0.48,0.132,"4,32%",0.135,0.77,2.01,-0.62,5.77,3.83,"6,60%","2,13%",1.61,"9,47%","5,23%",9751790.0,4306800000.0,1.35,"9,93%",MYPK3.SA
CRFB3,8.48,9.22,0.85,0.153,"1,12%",0.183,2554.95,3.78,-0.67,7.91,5.72,"4,04%","1,82%",1.0,"6,37%","9,21%",5074290.0,21042000000.0,1.19,"13,44%",CRFB3.SA
CPRE3,18.23,9.29,2.11,2.997,"0,00%",0.995,-207.33,5.25,-2.72,5.26,4.2,"57,08%","32,87%",0.97,"21,08%","22,74%",0.0,5125330000.0,0.19,"8,21%",CPRE3.SA
GGBR3,15.08,9.35,0.55,0.449,"4,38%",0.357,1.53,4.69,10.78,5.86,3.9,"9,56%","4,85%",2.64,"9,02%","5,84%",595684.0,56017100000.0,0.26,"3,73%",GGBR3.SA
CGAS3,124.0,9.35,11.57,1.103,"8,01%",1.171,9.14,5.66,-1.84,8.19,6.66,"19,51%","11,79%",1.95,"24,29%","123,69%",10530.9,1420180000.0,5.98,"13,89%",CGAS3.SA
MRSL4,3.05,9.48,0.91,0.816,"0,00%",0.609,2.19,15.08,5.8,16.51,8.83,"5,41%","8,69%",2.78,"4,44%","9,63%",0.0,375151000.0,0.16,"7,10%",MRSL4.SA
DMVF3,4.72,9.57,0.27,0.106,"0,00%",0.13,5.66,3.77,-0.66,3.84,1.31,"2,82%","1,11%",1.08,"4,38%","2,78%",323136.0,896843000.0,0.04,"23,04%",DMVF3.SA
UNIP6,55.12,9.58,2.35,1.107,"9,19%",0.857,3.94,8.14,-3.57,9.4,6.56,"13,61%","11,56%",2.24,"14,27%","24,57%",7316710.0,2649660000.0,0.93,"0,80%",UNIP6.SA
ITUB4,35.0,9.58,1.95,0.0,"7,14%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","20,33%",750320000.0,193682000000.0,0.0,"79,80%",ITUB4.SA
CGAS5,128.7,9.71,12.01,1.145,"8,49%",1.216,9.49,5.87,-1.91,8.4,6.83,"19,51%","11,79%",1.95,"24,29%","123,69%",98630.9,1420180000.0,5.98,"13,89%",CGAS5.SA
BRFS3,22.16,9.73,2.32,0.587,"3,18%",0.593,3.77,5.01,-2.65,5.95,4.04,"11,71%","6,74%",1.46,"21,33%","23,89%",231016000.0,16044400000.0,1.24,"9,94%",BRFS3.SA
UNIP5,56.0,9.74,2.39,1.125,"9,04%",0.87,4.0,8.26,-3.63,9.53,6.65,"13,61%","11,56%",2.24,"14,27%","24,57%",34475.5,2649660000.0,0.93,"0,80%",UNIP5.SA
